                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9045,                 3.9615,                 3.4637,                0.84667,                0.04677,                0.02867,                0.00843,                 2.8917,                 2.4164,                 2.6954,             0.00036791,             0.00036791,             0.00036791
                      2,                 2.2151,                  1.861,                 1.8664,                0.95943,                0.14658,                0.21526,                0.10707,                 1.6471,                 1.2184,                 1.5475,             0.00073094,             0.00073094,             0.00073094
                      3,                 1.7179,                 1.2866,                 1.4584,                0.80984,                0.26868,                0.29241,                0.17104,                 1.4394,                 1.0131,                 1.3807,              0.0010866,              0.0010866,              0.0010866
                      4,                  1.525,                 1.0718,                 1.3232,                0.85486,                0.27807,                0.29048,                0.17019,                 1.3628,                0.88345,                 1.2998,               0.001078,               0.001078,               0.001078
                      5,                 1.4266,                0.96052,                 1.2637,                0.88428,                0.27586,                0.31337,                0.18853,                  1.287,                0.85304,                 1.2574,               0.001067,               0.001067,               0.001067
                      6,                 1.3516,                0.89306,                 1.2218,                0.71356,                0.28345,                0.39527,                 0.2571,                 1.1927,                0.79325,                 1.2186,               0.001056,               0.001056,               0.001056
                      7,                 1.3128,                0.84824,                 1.2041,                0.70527,                 0.2769,                0.45898,                 0.2899,                 1.1848,                0.78969,                 1.2114,               0.001045,               0.001045,               0.001045
                      8,                 1.2715,                0.81441,                 1.1763,                0.64424,                0.36475,                0.50887,                0.32594,                 1.1334,                0.72338,                 1.1806,               0.001034,               0.001034,               0.001034
                      9,                 1.2345,                0.78847,                 1.1536,                0.56933,                0.37571,                0.49396,                0.32408,                 1.1336,                0.72744,                   1.17,               0.001023,               0.001023,               0.001023
                     10,                 1.2253,                0.76368,                 1.1558,                0.58815,                0.39795,                0.48029,                0.32279,                 1.1049,                0.70714,                 1.1519,               0.001012,               0.001012,               0.001012
                     11,                 1.1902,                0.73517,                 1.1355,                0.65764,                0.37981,                0.52123,                0.34834,                 1.0415,                0.66551,                 1.1266,               0.001001,               0.001001,               0.001001
                     12,                 1.1702,                  0.728,                 1.1297,                0.48393,                0.61858,                0.56322,                0.37411,                 1.0609,                0.67648,                 1.1361,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.1662,                0.71918,                 1.1266,                0.61104,                0.38274,                0.50396,                0.34199,                 1.0377,                0.65709,                 1.1256,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.1523,                0.69894,                 1.1182,                 0.6791,                0.42535,                0.51544,                0.35835,                 1.0296,                0.64423,                 1.1186,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.1205,                0.68523,                 1.1064,                0.70487,                0.51678,                 0.5324,                 0.3487,                 1.0235,                0.64382,                 1.1152,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.1228,                0.67454,                  1.099,                0.71454,                0.53613,                0.58047,                 0.3774,                 1.0251,                0.63773,                 1.1089,             0.00094602,             0.00094602,             0.00094602
                     17,                  1.108,                 0.6686,                 1.1006,                0.80302,                0.61121,                0.60861,                0.42095,                 1.0031,                0.63656,                 1.1034,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.0923,                0.65301,                  1.088,                 0.8756,                0.50704,                0.58988,                0.41391,                 1.0038,                0.62155,                 1.1029,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.0929,                0.65266,                   1.09,                0.79331,                0.51429,                0.55972,                 0.3835,                 1.0033,                 0.6265,                 1.1022,             0.00091302,             0.00091302,             0.00091302
                     20,                  1.083,                 0.6465,                 1.0899,                0.69635,                 0.6238,                0.63589,                0.41864,                0.97891,                0.61525,                 1.0928,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.0681,                 0.6376,                 1.0755,                0.77801,                0.62006,                 0.6399,                 0.4197,                0.99215,                0.59888,                  1.093,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.0644,                0.62901,                 1.0701,                0.86163,                0.54569,                0.61955,                0.43359,                0.97716,                0.59954,                 1.0917,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.0498,                0.62938,                 1.0753,                 0.8417,                0.56933,                0.63869,                0.44483,                0.97322,                0.58106,                 1.0906,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.0543,                0.63368,                 1.0722,                0.73225,                 0.6149,                0.61304,                0.40549,                0.96517,                0.59157,                 1.0836,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.0418,                0.61908,                 1.0648,                0.85104,                0.62994,                0.67546,                0.43753,                0.95865,                0.58419,                 1.0829,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.0303,                0.60922,                 1.0564,                 0.8334,                0.55501,                0.62841,                0.43475,                0.96159,                0.58743,                 1.0863,             0.00083603,             0.00083603,             0.00083603
